episode,return,return_moving_average,steps,physics_steps,termination_reason,terminated,truncated,duck_collision,other_collision,offroad,timeout,goal,stop_compliance,teacher_probability,teacher_step_ratio,epsilon
100,20.43498438517725,31.506860051305477,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.2081
101,39.61035845749336,31.86902836557202,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.9968333333333333,0.996,0.20620000000000002
102,41.51348755388513,31.891480908851136,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.9936666666666667,0.996,0.2043
103,22.928726769099413,31.5682439420579,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.9905,0.996,0.20240000000000002
104,40.70773402075857,31.943738336822662,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.9873333333333333,0.984,0.2005
105,22.002638056452692,31.5477839961491,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.9841666666666666,0.996,0.1986
106,42.45008504375928,31.964327551173163,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.981,0.968,0.1967
107,40.58022439399721,31.948154702192227,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.9778333333333333,0.984,0.1948
108,39.01946380256787,31.910534406448647,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.9746666666666667,0.976,0.19290000000000002
109,18.78150390083297,31.821126695210523,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.9715,0.976,0.191
110,22.38644789775893,31.829825556523602,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.9683333333333334,0.976,0.1891
111,22.050247360327866,31.463442805040348,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.9651666666666666,0.948,0.1872
112,22.258979164002984,31.47835572327007,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.962,0.964,0.18530000000000005
113,40.73330403439854,31.814736828120573,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.9588333333333333,0.956,0.18340000000000004
114,20.78291276499323,31.78867681337363,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.9556666666666667,0.952,0.18150000000000005
115,40.26188522515138,32.13968629030029,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.9525,0.972,0.17960000000000004
116,40.10565836478793,32.46985721619172,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.9493333333333334,0.932,0.17770000000000002
117,19.36511752227349,32.06047525905323,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.9461666666666667,0.94,0.17580000000000004
118,39.782994344228506,32.36786815597465,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.9430000000000001,0.976,0.17390000000000003
119,40.96023040508835,32.38892405626915,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.9398333333333333,0.948,0.17200000000000004
120,40.2317063105621,32.37004740191676,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.9366666666666666,0.92,0.17010000000000003
121,23.921649880807532,32.04309990659539,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.9335,0.936,0.16820000000000002
122,24.15548159719101,31.722215403194227,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.9303333333333333,0.904,0.16630000000000003
123,40.518212554692376,32.07213487181902,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.9271666666666667,0.948,0.16440000000000002
124,40.96027230123744,32.07891626182947,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.924,0.912,0.16250000000000003
125,22.90760849490154,32.08351553831921,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.9208333333333334,0.912,0.16060000000000002
126,40.85237206830413,32.425227344231715,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.9176666666666666,0.888,0.1587
127,20.579905179225882,32.00394056642185,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.9145,0.968,0.15680000000000002
128,41.222168500365356,31.99435717216052,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.9113333333333333,0.908,0.1549
129,41.24266533605738,32.34582919342879,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.9081666666666667,0.92,0.153
130,22.67476848290899,31.988487519089944,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.905,0.88,0.1511
131,39.95945792445242,31.976937426952826,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.9018333333333334,0.9,0.1492
132,22.99527921585888,31.969417072188225,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.8986666666666667,0.892,0.1473
133,40.372242569747755,31.970334776698326,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.8955,0.896,0.14540000000000003
134,38.85367120885985,32.30968324332781,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.8923333333333333,0.864,0.14350000000000002
135,39.62928892586532,32.67105107824312,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.8891666666666667,0.872,0.1416
136,40.198585370365564,32.660379763195834,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.886,0.892,0.1397
137,24.379267990003378,32.72203218563434,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.8828333333333334,0.9,0.13780000000000003
138,39.87797800199516,33.08627521752655,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.8796666666666667,0.872,0.13590000000000002
139,20.266405626990526,32.665501445916604,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.8765000000000001,0.856,0.13400000000000006
140,39.157052108039245,32.6370763351566,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.8733333333333333,0.864,0.13210000000000005
141,39.312287067148176,32.5988807531579,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.8701666666666666,0.884,0.13020000000000004
142,40.63462531354948,32.59585954010083,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.867,0.828,0.12830000000000003
143,18.992055423668187,32.17114422074825,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.8638333333333333,0.812,0.1264
144,18.448656729044117,31.724099310181977,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.8606666666666667,0.868,0.12450000000000006
145,41.0836201878588,32.08156833192872,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.8575,0.904,0.12260000000000004
146,39.40470326385358,32.42619733099916,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.8543333333333334,0.864,0.12070000000000003
147,20.44670379085833,32.418206023120526,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.8511666666666666,0.86,0.11880000000000002
148,40.716259210912995,32.8065211870752,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.848,0.824,0.1169
149,40.35183146258794,32.821275311298976,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.8448333333333333,0.832,0.11499999999999999
150,38.759615273677966,33.18776792906899,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.8416666666666667,0.856,0.11310000000000003
151,39.80947757851636,33.19175031148945,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.8385,0.8,0.11120000000000002
152,21.569152069161238,32.79286360179497,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.8353333333333334,0.824,0.10930000000000001
153,22.622343823991113,32.786735942892804,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.8321666666666667,0.82,0.1074
154,39.46415115746195,32.761864285626864,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.829,0.868,0.10549999999999998
155,17.689488070309228,32.675601285904,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.8258333333333334,0.816,0.10360000000000003
156,39.52633295506186,32.617126244130056,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.8226666666666667,0.836,0.10170000000000001
157,39.777609606500505,32.60107394838012,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.8195,0.836,0.0998
158,40.88146673408969,32.63831400701056,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.8163333333333334,0.828,0.09789999999999999
159,20.642482831446628,32.67553358562282,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.8131666666666667,0.772,0.09599999999999997
160,24.42026293493172,32.71620988636628,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.81,0.844,0.09410000000000002
161,23.224266646462077,32.739690272088964,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.8068333333333333,0.776,0.0922
162,21.415084121434337,32.722812371237595,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.8036666666666666,0.816,0.09030000000000005
163,42.88009672061395,32.765748224961904,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.8005,0.828,0.08840000000000003
164,19.17617420358069,32.73361345373365,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.7973333333333333,0.82,0.08650000000000002
165,40.28268986812987,32.73402954659323,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.7941666666666667,0.816,0.08460000000000001
166,40.5300207601485,32.74251679450043,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.791,0.792,0.08270000000000005
167,40.65261089038143,33.16826666186259,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.7878333333333334,0.76,0.08080000000000004
168,23.818519697898516,32.84897716893599,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.7846666666666666,0.764,0.07890000000000003
169,39.14914460872045,32.81275545300863,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.7815,0.756,0.07700000000000001
170,23.51919040085437,32.47850513481447,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.7783333333333333,0.796,0.0751
171,39.411574530984,32.788303627818,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.7751666666666667,0.724,0.07320000000000004
