episode,return,return_moving_average,steps,physics_steps,termination_reason,terminated,truncated,duck_collision,other_collision,offroad,timeout,goal,stop_compliance,teacher_probability,teacher_step_ratio,epsilon
94,-24.496244103797913,-14.728885737067415,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
95,-24.193115144596756,-9.56224321264998,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
96,-0.8360234236489779,-8.363722786729614,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
97,17.751133923602254,-8.511911750160593,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
98,-274.36860559144895,-13.693251187930496,245,1470,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
99,-210.15570142846272,-18.262209466291203,58,348,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
100,-4.291157862821447,-19.0949462525163,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
101,29.729389905585542,-17.581229900046555,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
102,-25.61710224663672,-18.448693976108792,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
103,-216.5670120383172,-21.154621953396124,23,138,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
104,-18.23238151488842,-22.021206749863946,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
105,13.060431757532283,-20.60109800741415,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
106,-250.16133732519438,-24.823095397794432,102,612,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
107,1.2932347508953137,-25.58369084573582,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
108,6.222055129888233,-25.49421134329686,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
109,22.278640147722637,-24.236846991025946,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
110,-12.07945696608829,-24.274635002849188,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
111,17.114781191299002,-23.494958523774194,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
112,-306.7318584952826,-29.920655361684048,107,642,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
113,-25.189364979417622,-30.635835158522163,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
114,-31.58604019565215,-30.655864982564562,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
115,19.239110010652894,-29.29074267598566,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
116,-12.910180052331134,-29.42518174351932,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
117,-20.156622267527304,-30.549924331868556,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
118,20.65142417678597,-30.68702690139358,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
119,-6.489851244324761,-31.467214595302163,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
120,2.1304484834264366,-31.772251642439684,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
121,29.31835609282635,-30.563545145045694,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
122,-17.63064725665951,-31.230466476659092,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
123,-33.14897969563536,-31.221633023423465,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
124,-29.048705771849733,-32.07733939893841,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
125,-269.94759754749634,-37.32938370817433,240,1440,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
126,-9.929844433515052,-37.87585650454653,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
127,-25.14950215521186,-38.43367502302568,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
128,11.100219680383178,-37.256065511884096,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
129,21.06884197402918,-37.54181342348512,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
130,-22.927104845178512,-33.587577205046166,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
131,30.06729714520829,-32.59628177802917,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
132,-31.71228326084005,-33.258056499087544,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
133,-12.530587878513838,-34.25750018477321,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
134,-226.04123043546588,-39.297616565002976,197,1182,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
135,-25.74058686929741,-40.25706142092894,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
136,36.87286521912106,-39.343659328747215,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
137,0.9063298702238699,-38.95857047051325,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
138,-13.755941706855436,-38.258265201214286,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
139,5.63209934177497,-37.62398567283649,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
140,-30.95685060435352,-38.618125948553455,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
141,-23.976859531381606,-39.58080019469132,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
142,20.479810447371772,-39.348863304794776,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
143,-29.854591091162156,-39.22993797431049,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
144,13.013933833808585,-38.47973441555836,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
145,0.533369146878193,-37.985204729728856,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
146,22.992669919706287,-37.50863086286176,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
147,-8.756990093310426,-38.038793343200005,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
148,16.236886993222747,-32.22668349150658,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
149,-11.179903825371873,-28.24716753944476,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
150,27.00465743077349,-27.621251233572856,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
151,14.434240804582426,-27.927154215592918,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
152,29.761400924128633,-26.81958415217761,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
153,-42.50206531930884,-23.338285217797456,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
154,2.275316589368496,-22.92813125571232,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
155,-226.05263228580714,-27.71039253657911,99,594,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
156,27.505281706117124,-22.157060155952873,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
157,13.332818596201404,-21.916268479046753,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
158,-199.86459198361092,-26.03800142131674,67,402,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
159,-6.06040809970362,-26.60478238626526,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
160,0.09947371701478343,-26.361203772603208,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
161,-6.635716058648351,-26.83621371760215,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
162,-195.4434788448017,-24.610446124592528,212,1272,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
163,-205.39047119511469,-28.214468248906464,76,456,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
164,-13.504791979684287,-27.852843284587106,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
165,3.4372827913803543,-28.168879828972557,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
166,33.92886443682276,-27.23209893918948,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
167,-21.426554800827283,-27.25749758985548,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
168,24.1692114140647,-27.18714184510991,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
169,36.816306901136706,-26.32101868220068,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
170,-192.38654114202436,-30.211358474709694,242,1452,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
171,-92.146811268186,-32.64066182192994,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
172,-31.58598917864535,-32.91976866036966,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
173,30.649194719270383,-31.64380517207154,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
174,24.999235410383605,-30.562846348426884,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
175,-40.58552174434603,-25.97560483236387,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
176,4.850296106931392,-25.68000202155494,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
177,17.27304728180724,-24.831551032814556,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
178,-43.85843550844108,-25.930724136591042,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
179,8.126532988503978,-26.18957031630155,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
180,-188.0018308166744,-29.491064835731464,224,1344,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
181,5.737894417836838,-29.977652890278897,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
182,30.481335070803972,-28.733780523646015,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
183,18.266705520334536,-28.11783465566905,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
184,-182.32295680826752,-27.243469183125086,241,1446,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
185,12.30611986737413,-26.482535048391654,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
186,-214.34133149662628,-31.5068189827066,65,390,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
187,-11.244234905023395,-31.749830278211547,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
188,-54.20825454774251,-32.558876535029285,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
189,-59.122264451171596,-33.853963810888224,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
190,-43.340225508918074,-34.101631308979506,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
191,-50.657249944829694,-34.63523911724847,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
192,-259.8484858065112,-40.24180504232613,235,1410,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
193,-179.82511080565547,-43.241215436615995,170,1020,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
194,-218.26398774735242,-47.866773868239214,54,324,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
195,-37.823192373222575,-48.63390509864123,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
196,-216.55013877862302,-53.42476127260782,110,660,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
197,-28.308293549083206,-53.81578734172327,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
198,-18.552549507237156,-54.51157607173247,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
199,-48.91708857708571,-55.266319766766756,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
200,-39.869405711307934,-56.603801029608384,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
201,-181.6041364394043,-60.524568574488114,149,894,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
202,-214.92574669296212,-65.41831152682992,62,372,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
203,-217.87132449632804,-68.92569671037032,33,198,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
204,-78.27173777014971,-70.53663779756067,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
205,-222.93718660067245,-70.47432888385796,56,336,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
206,-23.756877030748388,-71.49957205859528,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
207,-17.717208938498942,-72.1205726092893,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
208,-221.1674468127511,-72.54662970587208,139,834,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
209,-216.88464105533012,-76.76311436498462,35,210,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
210,-242.75991501533682,-81.62030213963165,33,198,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
211,-220.87211860064644,-85.9050301904716,99,594,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
212,-237.06110169895396,-86.73738264755468,88,528,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
213,-222.56504167748722,-87.08087405720211,55,330,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
214,-205.8939199217759,-90.92865661604394,44,264,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
215,-49.435203165462475,-91.98610633518079,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
216,-211.72542233578534,-96.89919207063295,35,210,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
217,-209.27546955376053,-100.65617036569161,86,516,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
218,-25.15510930121919,-101.64265677999728,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
219,-202.59165733532183,-106.43081606472646,43,258,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
220,-223.1923024775557,-107.0469312914371,51,306,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
221,-15.969099482853617,-105.52337705573045,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
222,-81.69952786471273,-106.52564782945181,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
223,-202.591752580774,-111.19046677545268,30,180,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
224,-199.33418763263742,-115.67713523631309,35,210,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
